"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"114","St John's (Saint John's Ultimate)","College","Men","Collegeville","MN","/teams/events/Eventteam/?TeamId=d%2bhiWC16Ole23Yn9DIM9LqcsyicgDbjTpKMlWLSKTUk%3d",89,"St John's",1316,"Division III","North Central","Northwoods DIII",19,7,393,0.615162340471065
"115","Cornell (Buds)","College","Men","Ithaca","NY","/teams/events/Eventteam/?TeamId=sDD7hdoa9yAG%2fWGRunEnD3BuYHNpjkMEWM%2btyANPaQM%3d",137,"Cornell",1123,"Division I","Metro East","Western NY DI",16,16,119,0.60237263969814
"116","Akron (Goon Squad)","College","Men","Akron","OH","/teams/events/Eventteam/?TeamId=rFoAL46KGXy%2fSm83z1X8L0L2oytNISIYsU1DBrfmgZM%3d",132,"Akron",1136,"Division I","Ohio Valley","Ohio DI",15,11,3,0.588255133896376
"117","George Mason (Massacre)","College","Men","Fairfax","VA","/teams/events/Eventteam/?TeamId=N8b2QXd9Pi0a%2bsWazxdlWJrhBbQwNcijqGpmNiUKncA%3d",113,"George Mason",1233,"Division I","Atlantic Coast","Virginia DI",15,19,159,0.586850491071778
"118","Humboldt State (Humboldt State Buds)","College","Men","Arcata","CA","/teams/events/Eventteam/?TeamId=ktcIqJHEUwa6ARFpvn5oGM5RIV1%2bR0ONqxVGOvaTJCk%3d",159,"Humboldt State",1047,"Division I","Southwest","NorCal DI",15,21,188,0.568344202805998
"119","Mississippi (HYDRa)","College","Men","Oxford","MS","/teams/events/Eventteam/?TeamId=0lfD2%2fhUDkHMZ7CLgGwtvX55DgFxZY3nJ0NKcpKwbMg%3d",103,"Mississippi",1273,"Division I","Southeast","Gulf Coast DI",20,16,269,0.559246475549717
"120","Navy (Poseidon)","College","Men","Annapolis","MD","/teams/events/Eventteam/?TeamId=PKSkInPRdQb8AaTzvxXpZ%2fwpSpV2Rucp98JpzG8lFAU%3d",143,"Navy",1100,"Division III","Atlantic Coast","Northern Atlantic Coast DIII",19,16,280,0.556935092309941
"121","San Jose State (Megabyte)","College","Men","San Jose","CA","/teams/events/Eventteam/?TeamId=OK9ukDpH4wfrLNmFs9zUaTOmwFDGgOHHrGdqxVeb65c%3d",198,"San Jose State",890,"Division I","Southwest","NorCal DI",17,12,374,0.554037941191935
"122","Wisconsin-Whitewater (Sub*Par)","College","Men","Whitewater","WI","/teams/events/Eventteam/?TeamId=WLENu4moC2USmixCOwUqUUlu%2fIBkH2333zqbaOYhEKM%3d",NA,NA,NA,NA,NA,NA,17,9,514,0.536489691431059
"123","Georgetown (Catholic Justice)","College","Men","Washington","DC","/teams/events/Eventteam/?TeamId=xji%2fAev%2fUFxJ%2bIiurk53yZqMsyHlKb7s91MfT%2boVty8%3d",83,"Georgetown",1345,"Division I","Atlantic Coast","Colonial DI",13,16,163,0.533228086244566
"124","North Texas (UNT illeagles)","College","Men","Denton","TX","/teams/events/Eventteam/?TeamId=3TRnXf4DHTXmYmg5ubEVrWhWuSNL9fANTclqIYCkHZg%3d",170,"North Texas",992,"Division I","South Central","North Texas DI",19,21,300,0.532647027362163
"125","Delaware (Sideshow)","College","Men","Newark","DE","/teams/events/Eventteam/?TeamId=8g0aol20xh6MfcEIDy6Jh93qot7gc0uDT9Vyi120jtw%3d",119,"Delaware",1189,"Division I","Atlantic Coast","Colonial DI",14,16,128,0.519655707034686
"126","High Point (High Point University Bagheera)","College","Men","High Point","NC","/teams/events/Eventteam/?TeamId=V55BdEw6QV0qWkHBbMitCw%2bYekb4Sz%2fbdjf7QccvD7o%3d",96,"High Point",1287,"Division III","Atlantic Coast","Carolina DIII",18,16,184,0.517771070000007
"127","Whitman (Sweets)","College","Men","Walla Walla","WA","/teams/events/Eventteam/?TeamId=pWhAvD22y8UdAprDxT%2bnE5UP4wsaapvQSmzp6kjZKSQ%3d",133,"Whitman",1134,"Division I","Northwest","Northwest DIII",17,13,495,0.507503217469217
"128","MIT (Grim Beaver)","College","Men","Cambridge","MA","/teams/events/Eventteam/?TeamId=di88oqxrUWAbUAbWvnEIPpZ2Xt2SVeR%2fDee0nxnbHiY%3d",135,"MIT",1133,"Division I","New England","Metro Boston DI",15,7,275,0.506314394299402
"129","Texas A&M-B (Dozen Matter)","College","Men","College Station","TX","/teams/events/Eventteam/?TeamId=%2b%2bXs0wZalmdzrfBu6wIp9s%2bhlPSepktRiZVUvYs5wI4%3d",107,"Texas A&M B",1256,"Developmental","South Central","South Texas DI",17,6,437,0.499933356442018
"130","Portland (Uprise)","College","Men","Portland","OR","/teams/events/Eventteam/?TeamId=1qMSY9s2z1fz9zrsBwRnIKblujosHLq20202RDEaVwo%3d",99,"Portland",1282,"Division III","Northwest","Northwest DIII",19,7,340,0.49955760142074
"131","Wisconsin-Eau Claire (EauZone)","College","Men","Eau Claire","WI","/teams/events/Eventteam/?TeamId=oTPLE%2f13NbexIWAeKskflYxJbemze9VL4AIgqKz5pzE%3d",152,"Wisconsin-Eau Claire",1056,"Division I","North Central","Lake Superior DI",25,18,506,0.487175399955706
"132","West Chester (West Chester A)","College","Men","West Chester","PA","/teams/events/Eventteam/?TeamId=qGw1m%2bmGzQhbZStKGvMSucQkl233rPpWNkO5AxIomDY%3d",155,"West Chester",1050,"Division I","Ohio Valley","East Penn DI",24,14,485,0.458368075485041
