"","Team","Competition Level","Gender Division","City","State","Links","Rank","School","Power Rating","Competition Division","College Region","College Conference","Wins","Losses","Index","Rating"
"74","Williams (WUFO)","College","Men","Williamstown","MA","/teams/events/Eventteam/?TeamId=at%2fJNh1%2b5ZP1FKnbhyWHCiD5CiCP92k995NZ8ff6Xp8%3d",95,"Williams",1297,"Division III","New England","South New England DIII",25,20,500,1.21506522137083
"75","Chico State (Chico State Wildcats)","College","Men","Chico","CA","/teams/events/Eventteam/?TeamId=CaCjKSXvAkJeonRDyI1WzpVx11VStzvHcwml0n2Z8vY%3d",173,"Chico State",983,"Division I","Southwest","NorCal DI",29,11,92,1.21161188691381
"76","Vermont (Chill)","College","Men","Burlington","VT","/teams/events/Eventteam/?TeamId=ZZIVWFW12JtpVc8PsvdoPFShuAuZjdeDSvUYAeLmLa4%3d",43,"Vermont",1582,"Division I","New England","North New England DI",11,6,467,1.19474186570327
"77","Lehigh (Lehigh )","College","Men","Bethlehem","PA","/teams/events/Eventteam/?TeamId=vwbw5taKByIY3%2f4lmzXMxdQz6U%2foLsx5i3mN64D2pFQ%3d",80,"Lehigh",1369,"Division I","Ohio Valley","East Penn DIII",23,13,226,1.19403210083563
"78","Victoria (Vikes)","College","Men","Victoria","BC","/teams/events/Eventteam/?TeamId=Xxig%2fjkYP08V8xz6AmJEQ%2b6%2bU5akV0AGAlg%2bZFdkFY0%3d",68,"Victoria",1429,"Division I","Northwest","Cascadia DI",7,15,468,1.19172892352145
"79","Tennessee-Chattanooga (Swamp Donkeys)","College","Men","Chattanooga","TN","/teams/events/Eventteam/?TeamId=5CKBYVtGQ5El2abmE5WU4OKeX4C6plgAaZU1pVPQDRc%3d",78,"Tennessee-Chattanooga",1378,"Division I","Southeast","Southern Appalachian DI",21,15,427,1.18410485285146
"80","Davidson (DUFF)","College","Men","Davidson","NC","/teams/events/Eventteam/?TeamId=596u1JJRHGayzIV4dSXuuuigVXxCxPB8lI3uDE59wzI%3d",71,"Davidson",1417,"Division III","Atlantic Coast","Carolina DIII",22,14,125,1.16270943544842
"81","California (California-Berkeley)","College","Men","Berkeley","CA","/teams/events/Eventteam/?TeamId=Y45K6K3o4Iy93%2fE8fcfkFDEQngSTMt2Cj%2ft%2fJew62bc%3d",94,"California",1297,"Division I","Southwest","NorCal DI",12,18,71,1.13771877459535
"82","North Carolina-Asheville (UNC Asheville Bulldogs)","College","Men","Asheville","NC","/teams/events/Eventteam/?TeamId=MdmZR6qvKSZNQi354yRApg4qQUaYNFI4%2bEr3%2f5NNjHE%3d",84,"North Carolina-Asheville",1340,"Division III","Atlantic Coast","Carolina DIII",17,8,288,1.13689819995274
"83","Alabama-Huntsville (Nightmares)","College","Men","Huntsville","AL","/teams/events/Eventteam/?TeamId=8tkzhyeR1zDtQLVxmZD1nGpqv8jCkD9YWlj67pNFy6U%3d",74,"Alabama-Huntsville",1403,"Division III","Southeast","Western Southeast DIII",22,6,6,1.1114307859823
"84","Oklahoma (Apes of Wrath)","College","Men","Norman","OK","/teams/events/Eventteam/?TeamId=Uft%2bKolMOgu3pp17PPdaR89mpwV2zsAVal9pXM7ByMc%3d",88,"Oklahoma",1328,"Division I","South Central","Ozarks DI",17,10,322,1.10064580138453
"85","Arizona State (Prime)","College","Men","Tempe","AZ","/teams/events/Eventteam/?TeamId=sWuOWiSgBQzQhhvR04iLpbctaOUr3I01A%2bSQV7YmFP8%3d",77,"Arizona State",1379,"Division I","Southwest","Desert DI",10,17,18,1.03852222788654
"86","South Florida (Scallywags)","College","Men","Tampa","FL","/teams/events/Eventteam/?TeamId=RCYi30XxcyXHLKD2uuXwjEzJbJuPlvpSxh2VCUoaknw%3d",85,"South Florida",1333,"Division I","Southeast","Florida DI",10,14,385,1.00275243883147
"87","Washington University (Contra)","College","Men","St. Louis","MO","/teams/events/Eventteam/?TeamId=5oOYlrU3ho%2fA15VgLDs%2fuzBSMRXoVPqPqlCjYEbwRI4%3d",69,"Washington University",1419,"Division I","South Central","Ozarks DI",16,11,481,0.968791399967514
"88","Dartmouth (Pain Train)","College","Men","Hanover","NH","/teams/events/Eventteam/?TeamId=0Pih%2fWDbaICjvJUFUidKTu1U0PWmvxvrMcsMjA0mIFY%3d",81,"Dartmouth",1367,"Division III","New England","North New England DIII",18,19,124,0.966192376773059
"89","San Diego State (Federalis)","College","Men","San Diego","CA","/teams/events/Eventteam/?TeamId=v27vxnLD06K9Zdl3dYivD9D1EqpkhmvgvA6iw9sreuQ%3d",124,"San Diego State",1174,"Division I","Southwest","SoCal DI",16,21,372,0.945418615883145
"90","Ohio (Ohio University)","College","Men","Athens","OH","/teams/events/Eventteam/?TeamId=yvALNJM8UDVgQgNrIKg0kyVhfNPXOa%2bQZ1FZnwAMt%2bw%3d",59,"Ohio",1450,"Division I","Ohio Valley","Ohio DI",20,10,315,0.944435899727064
"91","Chicago (Junk)","College","Men","Chicago","IL","/teams/events/Eventteam/?TeamId=7ss%2f3VpjcSNhJvrfJ8DzTVCsxl8%2bzi1oN0cCPNLBRwo%3d",67,"Chicago",1430,"Division I","Great Lakes","Illinois DI",14,11,91,0.925260289306187
"92","Illinois State (Gnomes)","College","Men","Normal","IL","/teams/events/Eventteam/?TeamId=N7IzGHFsL0tclOOglbhp%2b1FQ7J5FqbBoTXZGBvg7MJY%3d",92,"Illinois State",1310,"Division I","Great Lakes","Illinois DI",19,14,195,0.923482372989266
"93","Kennesaw State (Parliament)","College","Men","Kennesaw","GA","/teams/events/Eventteam/?TeamId=lM0x1cbvHb28vO4lOL6s33%2bqD1dE%2fyPRk3IuiJ5zRpo%3d",115,"Kennesaw State",1216,"Division I","Southeast","Southern Appalachian DI",22,16,215,0.919586486338481
"94","Santa Clara (SCAB)","College","Men","Santa Clara","CA","/teams/events/Eventteam/?TeamId=kuD8fwiwJWxO5%2fAWtxW6xhgvrxELWm3Kh0ZmLLF%2bMvM%3d",153,"Santa Clara",1051,"Division I","Southwest","NorCal DI",19,12,375,0.917172664770989
