"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"202","North Park","College","Women","Division III","Great Lakes","Great Lakes DIII",9,7,"/teams/events/Eventteam/?TeamId=mOrucXaAQgqvK2tS00t9LLnAumTHLJe8icG68TGtsTc%3d",0.00327391777395958
"203","Wisconsin B","College","Women","Developmental","North Central","Lake Superior DI",5,15,"/teams/events/Eventteam/?TeamId=dBg3WYAosXbBcHXWd1MsvvuzY6XhuUoUpvPloDyI3%2f8%3d",0.00312193395806427
"204","Wooster B","College","Women","Developmental","Ohio Valley","Ohio DIII",1,11,"/teams/events/Eventteam/?TeamId=QzmMldMdsOmrNMC7N2dkQ%2bLoY%2fPGJwa26Ei2mlmhhDg%3d",0.00301358282696221
"205","Wheaton (Illinois)","College","Women","Division III","Great Lakes","Great Lakes DIII",5,7,"/teams/events/Eventteam/?TeamId=ic0r959TyFyWMt8RcQymhFUHaTnh72HCRopRXzk5JLg%3d",0.00275510375207198
"206","Minnesota-Duluth","College","Women","Division I","North Central","Western North Central DI",3,14,"/teams/events/Eventteam/?TeamId=k1w4DJ8RueiWBevgrRYhFxH6RyrZ6qTli%2bj7aP0cZfw%3d",0.0023110167329453
"207","Northwestern B","College","Women","Developmental","Great Lakes","Illinois DI",2,14,"/teams/events/Eventteam/?TeamId=qqo%2fcHQP502rN6r4xRJrLVBUEnw4Lr1RsAo1iUkDByU%3d",0.00220285461333044
"208","Towson B","College","Women","Developmental","Atlantic Coast","Atlantic Coast Dev",5,17,"/teams/events/Eventteam/?TeamId=smT9U%2bsTba0B1Z8svgpoD7LG%2fPRfTSuf5LHBD%2bTSLu0%3d",0.00219264678860308
"209","Texas A&M","College","Women","Division I","South Central","Texas DI",5,17,"/teams/events/Eventteam/?TeamId=J9Mp7zavFaZsq1J6q2KGSNu8bROsHL3FF5%2fPIf8i6VU%3d",0.0020341536423003
"210","Kansas B","College","Women","Division I","South Central","Ozarks DI",2,17,"/teams/events/Eventteam/?TeamId=5w4XAjYw%2fX0sy2o0w8I4Yke%2fejVW7APFxZqCVwE0x0c%3d",0.00197761275171852
"211","Syracuse","College","Women","Division I","Metro East","Western NY DI",3,10,"/teams/events/Eventteam/?TeamId=iYFS3lttFjJjBubnZ1FUFcdBFGhNOM7chpR%2be%2bl2f6U%3d",0.00171249011361341
"212","George Washington B","College","Women","Developmental","Atlantic Coast","Atlantic Coast Dev",3,11,"/teams/events/Eventteam/?TeamId=udygJVQ7F7Ey0d3mPXrPYuR3yXkZXMO8%2fYDsDBsgzj8%3d",0.0016455290804206
"213","Grinnell B","College","Women","Developmental","North Central","North Central DIII",2,13,"/teams/events/Eventteam/?TeamId=9k8fV%2bKfBO33oy21sSn8fSHnUk2N1xRXS0LlWdOO5jk%3d",0.00163617608812995
"214","Virginia B","College","Women","Developmental","Atlantic Coast","Atlantic Coast Dev",4,25,"/teams/events/Eventteam/?TeamId=%2fGr7S5nSrDv%2fxx2E1oI1WK2zzzHfFDX%2bDwsMWDdsRG4%3d",0.00158376638447595
"215","SUNY Cortland","College","Women","Division III","Metro East","Western NY DIII",1,14,"/teams/events/Eventteam/?TeamId=pYBTt4ooeMNhHwdtS37vB6vtAYV0BOPWApRJU2bXrn4%3d",0.00110362199372657
"216","Princeton B","College","Women","Developmental","Metro East","Eastern Metro East DI",0,9,"/teams/events/Eventteam/?TeamId=VScXJ0NJQVwrLXHihkdihtGyxZDLfoQhja1ZdECLsp8%3d",0.00105017468133515
"217","Goucher","College","Women","Division III","Atlantic Coast","Atlantic Coast DIII",3,8,"/teams/events/Eventteam/?TeamId=g9BiODFA6TXDKW4cIs9YsQ2WxDIV3L6Y7L%2f5kEMF00c%3d",0.000988581481633493
"218","Georgetown B","College","Women","Developmental","Atlantic Coast","Atlantic Coast Dev",7,9,"/teams/events/Eventteam/?TeamId=k5dnayFnMwAhJXnFD37jgKgfetGgaMlJr2UPI%2fZeXzs%3d",0.000934901697865122
