"","Team","Wins","Losses","Competition Level","Gender Division","City","State","Links","Index","Rating"
"138","HOPE",1,6,"Club","Women","Providence","RI","/teams/events/Eventteam/?TeamId=8%2bscqDEv%2f895xn1NOdvEa6QhJTFCLtsNmCSxczxCAPo%3d",44,1.47942843793552e-05
"139","Dinosaur",0,12,"Club","Women","New York","NY","/teams/events/Eventteam/?TeamId=uGdxStDhsqHR0kB%2bleibU98X%2bm08VDtVpHnLsBKPFiA%3d",21,1.07115667834528e-05
"140","Orbit",0,7,"Club","Women","Atlanta","GA","/teams/events/Eventteam/?TeamId=5sH%2b4TSQ3%2feTJ%2fEHCaCc%2bQDm4c6iG59IVGz1GQgpu9I%3d",74,8.42908941468849e-06
"141","Filthy Gorgeous",1,5,"Club","Women","Saint Louis","MO","/teams/events/Eventteam/?TeamId=Aua96l05nl1JyLevvZ%2fgkXJmvAO99uUwLuTd%2bv4hLcE%3d",28,1.50242087053153e-06
"142","Clemson (Tiger Alumni)",0,0,"Club","Women","Clemson","SC","/teams/events/Eventteam/?TeamId=NJmUAe98%2bU8aQTOPNOP3Lw3sfEl4l8%2fm5bvosv0qTLg%3d",15,0
"143","DC MadDames",1,3,"Masters","Women","Washington","DC","/teams/events/Eventteam/?TeamId=hJecwgsNwUzPHI2ynnCyMn6Z8BPj5a5is8K80soq9uo%3d",19,0
"144","First Ladies",0,4,"Masters","Women","Washington","DC","/teams/events/Eventteam/?TeamId=gwwMo16O8vug3ke5%2bsi%2bPPiAIrtoDpan8L8jinnF49Y%3d",31,0
"145","Huck the Patriarchy",5,2,"Club","Women","Seattle","WA","/teams/events/Eventteam/?TeamId=HkoVVxslU7HeAuBDHeoMiuy0DzqEGZmyOemnztj%2bKDA%3d",48,0
"146","PLU Alum",0,0,"Club","Women","Tacoma","WA","/teams/events/Eventteam/?TeamId=6Ty3k4LQF5VnrNMFlqj89EO6RJw73jIQRHlgLx41nH0%3d",81,0
"147","Portland Ho Bags",0,2,"Masters","Women","Portland","OR","/teams/events/Eventteam/?TeamId=Z1WoPuW7ZBkoa3VGLlhe%2bTvwxy7ROMUnLKGmeU7P1wA%3d",84,0
"148","Temptress",0,8,"Club","Women","Dallas","TX","/teams/events/Eventteam/?TeamId=7XoPBm%2fOX3uU3PFr2fPXyan4JsC%2fefefQJMH3rO2YVc%3d",127,0
